iata,icao,noaa
BHM,KBHM,722280
DHN,KDHN,722268
HSV,KHSV,723230
MGM,KMGM,722260
MOB,KMOB,722230
ADK,PADK,704540
ADQ,PADQ,703500
AKN,PAKN,703260
ANC,PANC,702730
BET,PABE,702190
BRW,PABR,700260
CDV,PACV,702960
DLG,PADL,703210
DUT,PADU,704890
FAI,PAFA,702610
GST,PAGS,703670
JNU,PAJN,703810
KTN,PAKT,703950
OME,PAOM,702000
OTZ,PAOT,701330
PSG,PAPG,703860
SCC,PASC,700637
SIT,PASI,703710
WRG,PAWG,703870
YAK,PAYA,703610
AZA,KIWA,722786
FLG,KFLG,723750
PHX,KPHX,722780
PRC,KPRC,723723
TUS,KTUS,722740
YUM,KNYL,740035
FSM,KFSM,723440
LIT,KLIT,723403
TXK,KTXK,723418
XNA,KXNA,723436
ACV,KACV,725945
BFL,KBFL,723840
BUR,KBUR,722880
FAT,KFAT,723890
LAX,KLAX,722950
LGB,KLGB,722970
MMH,KMMH,723894
MRY,KMRY,724915
OAK,KOAK,724930
ONT,KONT,747040
PSP,KPSP,722868
RDD,KRDD,725920
SAN,KSAN,722900
SBA,KSBA,723925
SBP,KSBP,722897
SCK,KSCK,724920
SFO,KSFO,724940
SJC,KSJC,724945
SMF,KSMF,724839
SMX,KSMX,723940
SNA,KSNA,722977
STS,KSTS,724957
ASE,KASE,724676
COS,KCOS,724660
DEN,KDEN,725650
DRO,KDRO,724625
EGE,KEGE,724675
GJT,KGJT,724760
GUC,KGUC,724677
HDN,KHDN,725710
MTJ,KMTJ,724765
PUB,KPUB,724640
BDL,KBDL,725080
HVN,KHVN,725045
DAB,KDAB,747870
ECP,KECP,720735
EYW,KEYW,722010
FLL,KFLL,747830
GNV,KGNV,747560
JAX,KJAX,722060
MCO,KMCO,722050
MIA,KMIA,722020
MLB,KMLB,722040
PBI,KPBI,722030
PGD,KPGD,722034
PIE,KPIE,722116
PNS,KPNS,722223
RSW,KRSW,722108
SFB,KSFB,722057
SRQ,KSRQ,722115
TLH,KTLH,722140
TPA,KTPA,722110
VPS,KVPS,722210
ABY,KABY,722160
AGS,KAGS,722180
ATL,KATL,722190
BQK,KBQK,722136
CSG,KCSG,722255
SAV,KSAV,722070
VLD,KVLD,722166
HNL,PHNL,911820
ITO,PHTO,912850
JHM,PHJH,911904
KOA,PHKO,911975
LIH,PHLI,911650
LNY,PHNY,911905
MKK,PHMK,911860
OGG,PHOG,911900
BOI,KBOI,726810
IDA,KIDA,725785
LWS,KLWS,727830
PIH,KPIH,725780
SUN,KSUN,725865
TWF,KTWF,725866
BLV,KBLV,724338
BMI,KBMI,724397
CMI,KCMI,725315
MDW,KMDW,725340
MLI,KMLI,725440
ORD,KORD,725300
PIA,KPIA,725320
RFD,KRFD,725430
SPI,KSPI,724390
UIN,KUIN,724430
EVV,KEVV,724320
FWA,KFWA,725330
IND,KIND,724380
SBN,KSBN,725350
ALO,KALO,725480
CID,KCID,725450
DBQ,KDBQ,725470
DSM,KDSM,725460
OMA,KOMA,725500
SUX,KSUX,725570
GCK,KGCK,724515
HYS,KHYS,724518
ICT,KICT,724500
LBL,KLBL,724516
MHK,KMHK,724555
SLN,KSLN,724586
CVG,KCVG,724210
LEX,KLEX,724220
OWB,KOWB,724237
PAH,KPAH,724350
SDF,KSDF,724230
AEX,KAEX,747540
BTR,KBTR,722320
LCH,KLCH,722400
LFT,KLFT,722405
MLU,KMLU,722486
MSY,KMSY,722310
SHV,KSHV,722480
BGR,KBGR,726070
PQI,KPQI,727130
PWM,KPWM,726060
BWI,KBWI,724060
