iata,icao,noaa
AIV,KAIV,
ALX,KALX,720265
ANB,KANB,722287
ASN,KASN,720504
AUO,KAUO,722284
BFM,KBFM,722235
BHM,KBHM,722280
DCU,KDCU,722279
DHN,KDHN,722268
ETS,KEDN,
EUF,KEUF,720363
GAD,KGAD,722285
GUF,KJKA,720381
HAB,KHAB,
HSV,KHSV,723230
HUA,KHUA,723231
MGM,KMGM,722260
MOB,KMOB,722230
MSL,KMSL,723235
MVC,KMVC,
MXF,KMXF,722265
NHX,KNBJ,
OZR,KOZR,722269
PLR,KPLR,
SEM,KSEM,722266
TCL,KTCL,722286
TOI,KTOI,722267
ABL,PAFM,701718
ADK,PADK,704540
ADQ,PADQ,703500
ADR,KPHH,
AET,PFAL,
AGN,PAGN,703830
AIN,PAWI,700300
AKB,PAAK,A00032
AKI,PFAK,
AKK,PAKH,703926
AKN,PAKN,703260
AKP,PAKP,701625
ANC,PANC,702730
ANI,PANI,702320
ANN,PANT,
ANV,PANV,702075
ARC,PARC,701945
ATK,PATQ,702685
ATU,PAAT,
BET,PABE,702190
BGQ,PAGQ,
BIG,PABI,702670
BKC,PABL,700632
BMX,PABM,
BRW,PABR,700260
BTI,PABA,700860
BTT,PABT,701740
BVU,PABG,
CDB,PACD,703160
CDV,PACV,702960
CEM,PACE,
CIK,PACI,
CLP,PFCL,
CXF,PACX,703609
CYF,PACK,
CYT,PACY,
CZF,PACZ,702120
DLG,PADL,703210
DRG,PADE,701333
DUT,PADU,704890
EAA,PAEG,701975
EDF,PAED,702720
EEK,PAEE,
EGX,PAII,703334
EHM,PAEH,703050
EIL,PAEI,702650
ELI,PFEL,703891
ELV,PAEL,703817
EMK,PAEM,702084
ENA,PAEN,702590
ENN,PANN,702600
FAI,PAFA,702610
FBK,PAFB,702615
FNR,PANR,
FRN,PAFR,702700
FWL,PAFW,
FYU,PFYU,701940
GAL,PAGA,702220
GAM,PAGM,702040
GBH,PAGB,700635
GKN,PAGK,702710
GLV,PAGL,701995
GMT,PAGZ,
GST,PAGS,703670
HCR,PAHC,703051
HNH,PAOH,702607
HNS,PAHN,703626
HOM,PAHO,703410
HPB,PAHP,702186
HSL,PAHL,703655
HUS,PAHU,
HYG,PAHY,703884
IAN,PAIK,701196
IGG,PAIG,703061
IKO,PAKO,
ILI,PAIL,703400
IRC,PACR,
JNU,PAJN,703810
KAE,PAFE,703855
KAL,PAKV,702006
KDK,PAKD,
KFP,PAKF,700638
KGK,PAJZ,703925
KKA,PAKK,702223
KKH,PADY,
KLG,PALG,703052
KLN,PALB,
KLW,PAKW,703894
KMO,PAMB,703055
KNW,PANW,702697
KOT,PFKO,
KPC,PAPC,701190
KPN,PAKI,702686
KPV,PAPE,
KSM,PASM,702005
KTN,PAKT,703950
KTS,PFKT,
KUK,PFKA,
KVC,PAVC,
KVL,PAVL,701486
KWK,PAGG,
KWN,PAQH,703656
KWT,PFKW,
KYK,PAKY,
KYU,PFKU,
LKK,PAKL,
LMA,PAMH,702460
LNI,PALN,
LUR,PALU,701040
MCG,PAMC,702310
MCL,PAIN,702645
MDO,PAMD,703430
MLL,PADM,702628
MLY,PAML,
MOU,PAMO,703056
MRI,PAMR,702735
MTM,PAMM,703985
MTX,PABK,
MXY,PAMX,
MYU,PAMY,702185
NCN,PFCB,
NIB,PAFS,702625
NLG,PAOU,703058
NME,PAGT,
NNL,PANO,
NUI,PAQT,703644
NUL,PANU,
OBU,PAOB,
OME,PAOM,702000
OOK,PAOO,703057
ORI,KORI,
ORT,PAOR,702910
ORV,PFNO,704898
OTZ,PAOT,701330
PAQ,PAAQ,702740
