noaa,icao
700001,PATO
700197,PASK
700260,PABR
700300,PAWI
700632,PABL
700634,PAKU
700635,PAGB
700637,PASC
700638,PAKF
700860,PABA
701040,PALU
701043,PAPO
701045,PADG
701170,PATC
701190,PAPC
701195,PASH
701196,PAIK
701210,PPIZ
701330,PAOT
701333,PADE
701335,PAWN
701337,PAIW
701338,PAVA
701486,PAVL
701625,PAKP
701718,PAFM
701719,PAGH
701730,PAIM
701740,PABT
701745,PALR
701748,PAPR
701780,PATA
701940,PFYU
701945,PARC
701975,PAEG
701995,PAGL
702000,PAOM
702004,PAWM
702005,PASM
702006,PAKV
702035,PASA
702040,PAGM
702070,PAUN
702075,PANV
702084,PAEM
702120,PACZ
702185,PAMY
702186,PAHP
702190,PABE
702195,PANA
702220,PAGA
702223,PAKK
702310,PAMC
702315,PATL
702320,PANI
702325,PAWS
702350,PASV
702460,PAMH
702490,PAPT
702510,PATK
702590,PAEN
702595,PASX
702600,PANN
702606,PAEC
702607,PAOH
702610,PAFA
702615,PAFB
702625,PAFS
702626,PAPN
702627,PARY
702628,PADM
702645,PAIN
702650,PAEI
702670,PABI
702685,PATQ
702686,PAKI
702697,PANW
702700,PAFR
702710,PAGK
702715,PAZK
702720,PAED
702725,PALH
702730,PANC
702735,PAMR
702740,PAAQ
702746,PABV
702756,PAVD
702757,PAWR
702758,PALP
702770,PAWD
702910,PAOR
702960,PACV
702986,PALV
703050,PAEH
703051,PAHC
703052,PALG
703053,PARS
703054,PACM
703055,PAMB
703056,PAMO
703057,PAOO
703058,PAOU
703061,PAIG
703080,PASN
703160,PACD
703165,PASD
703210,PADL
703260,PAKN
703330,PAPH
703333,PAJC
703334,PAII
703335,PFWS
703400,PAIL
703406,PALJ
703407,PASL
703410,PAHO
703430,PAMD
703500,PADQ
703605,PAPM
703606,PATG
703609,PACX
703610,PAYA
703620,PAGY
703621,PASO
703626,PAHN
703644,PAQT
703655,PAHL
703656,PAQH
703670,PAGS
703710,PASI
703810,PAJN
703817,PAEL
703830,PAGN
703835,PAPB
703855,PAFE
703860,PAPG
703870,PAWG
703884,PAHY
703888,PFSH
703891,PFEL
703894,PAKW
703925,PAJZ
703926,PAKH
703950,PAKT
703985,PAMM
704140,PASY
704540,PADK
704890,PADU
